title,genres,cast,director,year
The Dark Knight,Action|Crime|Drama,Christian Bale|Heath Ledger|Aaron Eckhart,Christopher Nolan,2008
Inception,Action|Sci-Fi|Thriller,Leonardo DiCaprio|Joseph Gordon-Levitt|Elliot Page,Christopher Nolan,2010
Interstellar,Adventure|Drama|Sci-Fi,Matthew McConaughey|Anne Hathaway|Jessica Chastain,Christopher Nolan,2014
The Prestige,Drama|Mystery|Sci-Fi,Christian Bale|Hugh Jackman|Scarlett Johansson,Christopher Nolan,2006
Batman Begins,Action|Adventure,Christian Bale|Michael Caine|Liam Neeson,Christopher Nolan,2005
Iron Man,Action|Adventure|Sci-Fi,Robert Downey Jr.|Gwyneth Paltrow|Jeff Bridges,Jon Favreau,2008
The Avengers,Action|Adventure|Sci-Fi,Robert Downey Jr.|Chris Evans|Scarlett Johansson,Joss Whedon,2012
Avengers: Endgame,Action|Adventure|Drama,Robert Downey Jr.|Chris Evans|Chris Hemsworth,Anthony Russo,2019
Captain America: Civil War,Action|Adventure|Sci-Fi,Chris Evans|Robert Downey Jr.|Scarlett Johansson,Anthony Russo,2016
Black Widow,Action|Adventure|Sci-Fi,Scarlett Johansson|Florence Pugh|David Harbour,Cate Shortland,2021
Titanic,Drama|Romance,Leonardo DiCaprio|Kate Winslet|Billy Zane,James Cameron,1997
The Wolf of Wall Street,Biography|Crime|Drama,Leonardo DiCaprio|Jonah Hill|Margot Robbie,Martin Scorsese,2013
Django Unchained,Drama|Western,Jamie Foxx|Christoph Waltz|Leonardo DiCaprio,Quentin Tarantino,2012
Once Upon a Time in Hollywood,Comedy|Drama,Leonardo DiCaprio|Brad Pitt|Margot Robbie,Quentin Tarantino,2019
Pulp Fiction,Crime|Drama,John Travolta|Uma Thurman|Samuel L. Jackson,Quentin Tarantino,1994
Kill Bill: Vol. 1,Action|Crime|Drama,Uma Thurman|David Carradine|Daryl Hannah,Quentin Tarantino,2003
Inglourious Basterds,Adventure|Drama|War,Brad Pitt|Melanie Laurent|Christoph Waltz,Quentin Tarantino,2009
Fight Club,Drama,Brad Pitt|Edward Norton|Helena Bonham Carter,David Fincher,1999
Se7en,Crime|Drama|Mystery,Brad Pitt|Morgan Freeman|Gwyneth Paltrow,David Fincher,1995
The Social Network,Biography|Drama,Jesse Eisenberg|Andrew Garfield|Justin Timberlake,David Fincher,2010
Gone Girl,Drama|Mystery|Thriller,Ben Affleck|Rosamund Pike|Neil Patrick Harris,David Fincher,2014
Shutter Island,Mystery|Thriller,Leonardo DiCaprio|Mark Ruffalo|Ben Kingsley,Martin Scorsese,2010
The Departed,Crime|Drama|Thriller,Leonardo DiCaprio|Matt Damon|Jack Nicholson,Martin Scorsese,2006
Good Will Hunting,Drama|Romance,Matt Damon|Robin Williams|Ben Affleck,Gus Van Sant,1997
The Bourne Identity,Action|Mystery|Thriller,Matt Damon|Franka Potente|Chris Cooper,Doug Liman,2002
Gladiator,Action|Adventure|Drama,Russell Crowe|Joaquin Phoenix|Connie Nielsen,Ridley Scott,2000
The Martian,Adventure|Drama|Sci-Fi,Matt Damon|Jessica Chastain|Kristen Wiig,Ridley Scott,2015
Blade Runner 2049,Drama|Mystery|Sci-Fi,Ryan Gosling|Harrison Ford|Ana de Armas,Denis Villeneuve,2017
Dune,Action|Adventure|Sci-Fi,Timothee Chalamet|Rebecca Ferguson|Zendaya,Denis Villeneuve,2021
La La Land,Comedy|Drama|Music,Ryan Gosling|Emma Stone|John Legend,Damien Chazelle,2016
Crazy Stupid Love,Comedy|Drama|Romance,Steve Carell|Ryan Gosling|Julianne Moore,Glenn Ficarra,2011
Easy A,Comedy|Drama|Romance,Emma Stone|Amanda Bynes|Penn Badgley,Will Gluck,2010
The Amazing Spider-Man,Action|Adventure|Sci-Fi,Andrew Garfield|Emma Stone|Rhys Ifans,Marc Webb,2012
Birdman,Comedy|Drama,Michael Keaton|Emma Stone|Edward Norton,Alejandro G. Inarritu,2014
The Revenant,Action|Adventure|Drama,Leonardo DiCaprio|Tom Hardy|Will Poulter,Alejandro G. Inarritu,2015
Mad Max: Fury Road,Action|Adventure|Sci-Fi,Tom Hardy|Charlize Theron|Nicholas Hoult,George Miller,2015
Dunkirk,Action|Drama|History,Fionn Whitehead|Tom Hardy|Mark Rylance,Christopher Nolan,2017
Venom,Action|Sci-Fi|Thriller,Tom Hardy|Michelle Williams|Riz Ahmed,Ruben Fleischer,2018
Joker,Crime|Drama|Thriller,Joaquin Phoenix|Robert De Niro|Zazie Beetz,Todd Phillips,2019
The Master,Drama,Joaquin Phoenix|Philip Seymour Hoffman|Amy Adams,Paul Thomas Anderson,2012
